text,embd,cluster
"Alur Pendaftaran Online Mahasiswa Baru
Universitas Airlangga
_____________________________________________________________________________________
Berlaku untuk semua pendaftaran semua strata (Penerimaan Dalam negeri)
A. Registrasi Akun Pendaftaran
Sebelum melakukan pengisian formulir pendaftaran online, Anda diwajibkan mempunyai akun
pendaftaran. Akun ini akan digunakan sebagai login untuk masuk ke dalam Sistem Pendaftaran
Online Universitas Airlangga.
Langkah-langkahnya adalah sebagai berikut :
1. Buka web pendaftaran Universitas Airlangga : http://pendaftaran.unair.ac.id.
2. Klik menu Registrasi.
3. Setelah tampilan muncul, kemudian isikan Nama, No Telp / HP (disarankan HP), Email,
Password yang diinginkan. Email & Password ini akan digunakan untuk login
4. Klik tombol [Registrasi], Jika sudah melakukan regitrasi peserta dapat langsung
melakukan login untuk pendaftaran.
5. Proses registrasi akun pendaftaran sudah selesai, anda hanya cukup melakukan proses ini
sekali saja. Jika sudah pernah memiliki akun sebelumnya maka calon peserta bisa
mengubah penerimaan dengan masuk ke akun sebelumnya pilih pemilihan penerimaan –
klik disini – lalu pilih jalur baru yang diinginkan.
B. Pengisian Formulir Pendaftaran dan Upload Berkas Persyaratan
Pengisian formulir pendaftaran online langkah-langkahnya adalah sebagai berikut :
1. Buka web pendaftaran Universitas Airlangga : http://pendaftaran.unair.ac.id
2. Login menggunakan akun registrasi dengan Email & Password yang sudah didaftarkan
sebelumnya. Setelah login, tampilan pertama adalah alur proses pendaftaran yang harus
ditempuh seorang peserta. - Jika belum mempunyai akun registrasi ikuti proses “A.
Registrasi Akun Pendaftaran”
3. Ikuti langkah ke-1 yaitu pemilihan jenjang seleksi dengan cara klik menu atas Pendaftaran
-> Pemilihan Penerimaan
4. Pilih penerimaan yang diinginkan, kemudian klik [Daftar].
5. Kemudian piih jenis formulir / jenis jurusan (Saintek/Soshum/Campuran), setelah dipilih
klik [Simpan]. Maka akan muncul tampilan formulir pendaftaran
6. Isi formulir sesuai data diri Anda, dan pastikan tidak ada yang terlewat. Setelah selesai
terisi semua klik [Simpan].
7. Setelah mengisi formulir pendaftaran, maka langkah selanjutnya adalah mengupload
berkas persyaratan. Untuk mengupload berkas persyaratan klik menu Pendaftaran ->
Upload Berkas.
8. Upload satu-persatu file syarat yang dibutuhkan, perhatikan juga peringatan tentang syarat
file yang bisa diupload beserta informasi materai yang harus dipakai untuk berkas
pernyataan. Setelah diupload semua, kemudian klik tombol [Submit untuk diverifikasi].
9. Proses pengisian formulir dan upload file persyaratan sudah selesai. Anda tinggal
menunggu hasil verifikasi oleh panitia penerimaan dengan mengecek secara periodik di
menu Verifikasi -> Hasil Verifikasi.
10. Jika anda menginginkan mendaftar kembali jalur atau jenjang yang berbeda dimohon
untuk menyelesaikan pendaftaran yang pertama terlebih dahulu. Lalu silahkan mengubah
kembali pilihan penerimaan dengan cara masuk ke akun sebelumnya pilih pemilihan
penerimaan – klik disini – lalu pilih jalur atau jenjang baru yang diinginkan.
Peringatan : Setelah dokumen terverifikasi, maka calon peseta tidak dapat melakukan
perubahan data, pilihan program studi maupun berkas persyaratan.
C. Pembayaran Voucher dan Cetak Kartu Ujian
Setelah proses verifikasi selesai, Anda bisa melakukan pembayaran voucher ke bank mitra
(Bank Mandiri/BNI/BRI/Bank Jatim) dengan melihat kode voucher dan besar biaya yang harus
dibayarkan di menu Verifikasi -> Kode Voucher. Pembayaran voucher ini dilakukan untuk
mendapatkan pin voucher sebagai syarat untuk bisa mencetak kartu ujian.
Setelah melakukan pembayaran di bank, anda akan menerima pin voucher yang bisa
digunakan untuk mencetak kartu ujian melalui menu di halaman pendaftaran Verifikasi ->
Cetak Kartu.
Catatan : Pembayaran voucher bisa dilakukan melalui Teller bank, ATM atau eBanking","[ 0.74260557 -1.23509669 -0.34653801 ... -0.96851951 -0.99506581
  1.09490228]",[0.]
"Alur Pengajuan Legalisir dan Transkrip Nilai
1. Mengunduh template Surat Rekomendasi di https://bit.ly/FormatPengajuanFTMM
2. Membuat Surat Permohonan
3. Semua berkas dikirim ke email kemahasiswaan@ftmm.unair.ac.id dengen Subject ""Transkrip/Legalisir KHS_Nama_NIM""
4. Permohonan akan diproses 3-7 hari kerja
5. Setelah surat permohonan disetujui akan dikirim softfile melalui email mahasiswa yang bersangkutan. Apabila tidak disetujui, maka mahasiswa akan dihubungi oleh pihak akademik melalui whatsapp atau email.
6. Surat dalam bent hardfile data diambil pada hari kerja pukul 08.00-16.00 di Ruang Akademik, GKB C Lantai 1

NB: Untuk dapat membuka link template, harus menggunakan email domain unair.","[ 1.19713545  3.8493309   1.07399511 ... -0.38600907 -0.14385141
  1.05699492]",[1.]
"Alur Pengajuan Surat Keterangan Mahasiswa Aktif (SKMA)
1. Mengunduh template Surat Permohonan SKMA di https://bit.ly/FormatPengajuanFTMM
2. Membuat Surat Permohonan kemudian meminta persatujuan dan tandatangan dari dosen wali
3. Melengkapi lampiran berupa Scan KTM dan KHS semester terakhir
4. Semua berkas dikirim ke email kemahasiswaan@ftmm.unair.ac.id dengen Subject ""SKMA_Nama_NIM""
5. Permohonan akan diproses 3-7 hari kern
6. Setelah surat permohonan disetujui akan dikirim softfile melalui email mahasiswa yang bersangkutan. Apabila tidak disetujui, maka mahasiswa akan dihubungi ole phial akademik melalui whatsapp atau email.
7. Surat dalam bent hardcopy data diambil pada hari kerja pukul 08.00-16.00 di Ruang Akademik, GKB C Lantai 1

NB: Untuk dapat membuka link template, harus menggunakan email domain unair.","[ 1.05194795  3.4537003   1.36373758 ... -0.21133928 -0.45372367
  1.17461491]",[1.]
"Alur Pengajuan Surat Keterangan
1. Mengunduh template Surat Rekomendasi di https://bit.ly/FormatPengajuanFTMM
2. Membuat Surat Permohonan kemudian meminta persatujuan dan tandatangan dari dosen wali
3. Melengkapi lampiran berupa Scan KTM, KHS semester terakhir,
4. Semua berkas dikirim ke email kemahasiswaan@ftmm.unair.ac.id dengen Subject ""SuratKeterangan_Nama_NIM""
5. Permohonan akan diproses 3-7 hari kerja
6. Setelah surat permohonan disetujui akan dikirim softfile melalui email mahasiswa yang bersangkutan. Apabila tidak disetujui, maka mahasiswa akan dihubungi oleh pihak akademik melalui whatsapp atau email.
7. Surat dalam bent hardcopy data diambil pada hari kerja pukul 08.00-16.00 di Ruang Akademik, GKB C Lantai 1

NB: Untuk dapat membuka link template, harus menggunakan email domain unair.","[ 1.6661129   3.14270282  0.94784117 ... -0.44917455 -0.49950784
  1.40611827]",[1.]
"Alur Pengajuan Surat Rekomendasi
1. Mengunduh template Surat Rekomendasi di https://bit.ly/FormatPengajuanFTMM
2. Membuat Surat Permohonan kemudian meminta persatujuan dan tandatangan dari dosen wali
3. Melengkapi lampiran berupa Scan KTM, KHS semester terakhir, dan Form Rencana Konversi bagi yang ingin mengajukan Surat Rekomendasi MSIB
4. Semua berkas dikirim ke email kemahasiswaan@ftmm.unair.ac.id dengen Subject ""Rekomendasi_Nama_NIM""
5. Permohonan akan diproses 3-7 hari kerja
6. Setelah surat permohonan disetujui akan dikirim softfile melalui email mahasiswa yang bersangkutan. Apabila tidak disetujui, maka mahasiswa akan dihubungi ole phial akademik melalui whatsapp atau email.
7. Surat dalam bent hardcopy data diambil pada hari kerja pukul 08.00-16.00 di Ruang Akademik, GKB C Lantai 1

NB: Untuk dapat membuka link template, harus menggunakan email domain unair.","[ 1.42835844  3.39472103  1.23019958 ... -0.26061457 -0.4743028
  1.3579154 ]",[1.]
"BANGGA EV Charging Station Ikuti ASSIE 2023
Desember 1, 2023

FTMM NEWS â€“ Mahasiswa Universitas Airlangga khususnya Fakultas Teknologi Maju dan Multidisiplin tidak pernah berhenti untuk terus berinovasi dalam menghasilkan produk unggulan. Melalui program Matching Fund 2023 yaitu program kerja sama antara Universitas Airlangga dengan PT. Barata Indonesia (Persero), berhasil menciptakan produk terbarukan yaitu BANGGA EV Charging Station. 

BANGGA EVCS merupakan produk sistem pengisian hasil pengembangan yang menawarkan kemudahan dan kontribusi terbuka kepada semua pihak. Sebuah kolaborasi antara Universitas Airlangga dengan P.T. Barata Indonesia yang hadir sebagai solusi permasalahan tersebut. Dengan melibatkan mahasiswa, kerja sama tersebut melahirkan sebuah sistem pengisian yang terintegrasi dengan aplikasi. Juga dengan fitur-fitur yang memberi kemudahan kepada pengguna.

Pengerjaan Bangga EVCS berlangsung selama 5 bulan. Melibatkan 16 orang mahasiswa Fakultas Teknologi Maju dan Multidisiplin, dengan bimbingan langsung dosen Fakultas Teknologi Maju dan Multidisiplin yaitu Dr. Agus Mukhlisin, S.T., M.T. 

Rangkaian pengerjaan terbagi menjadi 2, yaitu oleh mahasiswa Fakultas Teknologi Maju dan Multidisiplin dan PT Barata Indonesia (Persero). Proses pengerjaan oleh mahasiswa terdiri atas design dan perakitan pcb, perangkaian panel, pemrograman spklu, pembuatan jackstand, serta pembuatan dan pengintegrasian aplikasi. Tidak hanya mahasiswa Fakultas Teknologi Maju dan Multdisiplin saja, proses pengerjaan Bangga EV Charging Station juga dilakukan oleh PT Barata Indonesia (Persero) yaitu pembuatan housing panel.


Keunggulan dari Bangga EVCS  dengan EVCS yang sudah ada adalah terletak  pada fitur aplikasi yang tidak hanya memudahkan para pengguna, namun juga dapat memudahkan mitra kerja lainnya yang hal tersebut tidak terdapat pada EVCS yang sudah beredar di Indonesia.

Proses yang panjang dengan berbagai kendala ini tidak terbuang sia-sia. Pada hari Jumat (1/12) Bangga EVCS yang bekerja sama antara Universitas Airlangga dengan PT Barata Indonesia (Persero), wakil rektor bidang akademik, Prof. Bambang Sektyari merilis produk unggulan ini dalam kesempatan di ASSIE yang berlangsung di Grand City Surabaya.

Penulis : Andini

Editor : Andri Hariyanto

","[ 1.64464974  1.78207386  2.82256746 ... -1.38273346  2.53124952
 -1.40538383]",[2.]
"Biaya Pendaftaran
Biaya pendaftaran Program Sarjana Jalur Mandiri Universitas Airlangga adalah sebesar :

Rp. 300.000,- untuk Kelompok SAINTEK/SOSHUM (2 pilihan prodi)
Rp. 500.000,- untuk Kelompok Campuran (SOSHUM dan SAINTEK) (2 pilihan prodi)","[ 1.36602879  0.82768369  0.96406877 ... -0.0404243   3.18342996
 -0.46339512]",[4.]
"Digitalisasi UMKM dan Pendidikan Berkualitas di Dusun Kepetingan
Oktober 3, 2023

FTMM NEWS  – Dalam era globalisasi saat ini, dunia mengalami perubahan yang begitu cepat. Kemajuan teknologi, terutama dalam bidang informasi dan komunikasi, telah mengubah cara kita berkomunikasi, bekerja, dan belajar. Di tengah perubahan ini, pendidikan berkualitas menjadi salah satu kunci utama yang dapat mendorong pertumbuhan dan perkembangan suatu negara. Negara-negara yang mampu mengadaptasi sistem pendidikannya dengan tuntutan zaman akan memiliki keunggulan kompetitif di kancah internasional.

Sustainable Development Goals (SDGs) merupakan serangkaian tujuan global negara-negara anggota Perserikatan Bangsa-Bangsa untuk menciptakan dunia yang lebih baik dan berkelanjutan. Salah satu tujuan utama dari SDGs adalah Quality Education. Ini menekankan pentingnya pendidikan berkualitas sebagai fondasi dalam pembangunan berkelanjutan. Pendidikan yang berkualitas tidak hanya menghasilkan lulusan yang cerdas, tetapi juga individu yang kritis, kreatif, dan memiliki kepedulian sosial.

Namun, Quality Education dalam konteks SDGs bukan hanya berkaitan dengan akses pendidikan formal. Lebih dari itu, tujuan ini juga menyoroti bagaimana masyarakat, terutama generasi muda, dapat memanfaatkan ilmu dan teknologi untuk meningkatkan kualitas hidup mereka. Dengan pendidikan yang relevan dan adaptif, individu dapat mempersiapkan diri menghadapi tantangan masa depan, memanfaatkan peluang yang ada, dan berkontribusi aktif dalam pembangunan masyarakat dan negara.

Dalam semangat mewujudkan SDGs terkait Quality Education, HMTI mengadakan program kerja (proker) dengan judul “Desa Mitra” di Dusun Kepetingan, Sidoarjo, Jawa Timur. Melalui proker ini, mahasiswa dan masyarakat saling berbagi pengetahuan. Mahasiswa membawa materi mengenai digitalisasi UMKM, sebuah langkah penting dalam mempersiapkan UMKM menghadapi era digital, sementara masyarakat setempat memberikan pelajaran berharga tentang realitas UMKM di lapangan.

Kolaborasi dengan telemedicine khusus Vaskular

Digitalisasi UMKM tidak hanya meningkatkan efisiensi dan produktivitas, tetapi juga memberikan peluang bagi masyarakat untuk mengakses informasi dan pelatihan yang relevan. Dengan demikian, mereka dapat meningkatkan kualitas produk atau jasa, serta memperluas jangkauan pasar mereka. Ini sejalan dengan prinsip Quality Education dalam SDGs, di mana pendidikan harus relevan dengan kebutuhan zaman dan memberikan manfaat langsung bagi masyarakat.

Salah satu highlight kegiatan ini adalah sesi telemedicine khusus Vaskular (iVascular) yang dioperasikan selama kegiatan berlangsung. Melalui zoom call, masyarakat Dusun kepetingan, Sidoarjo, Jawa Timur berkesempatan berdiskusi dengan salah satu dosen Teknik Industri Universitas Airlangga dr. Niko Azhari Hidayat, Sp.BTKV(K) yang merupakan pendiri dari produk Vaskular Indonesia. Diskusi ini memberikan wawasan lebih dalam mengenai pentingnya teknologi dalam bidang kesehatan, khususnya pembuluh darah.

Kegiatan Desa Mitra ini mendapat apresiasi dari berbagai pihak dan diharapkan dapat menjadi contoh bagi kegiatan serupa di masa mendatang. Melalui pengabdian seperti ini, HMTI Universitas Airlangga menunjukkan komitmennya dalam menerapkan ilmu untuk kemaslahatan masyarakat.

Penulis : Mochammad Revanza

Editor : Ananta Adhi Wardana","[ 0.05077735 -0.37845418  0.952995   ... -1.04780734  0.89728802
  1.16474807]",[3.]
"Dosen Teknik Elektro Ciptakan Robot ARTA-1 untuk Permudah Tenaga Medis Observasi Pasien Terduga COVID-19
Juli 30, 2021

FTMM NEWS – Airlangga Robotic Triage Assistant (ARTA-1) merupakan robot yang digunakan sebagai asisten medis untuk pasien terpapar COVID-19. Proses triase pada ARTA-1 terdiri dari pengukuran tanda-tanda vital serta anamnesis akan menentukan apakah orang yang diduga terpapar virus COVID-19 harus mendapatkan penanganan khusus atau tidak.

“Pengukuran kondisi vital pasien COVID-19, yakni pada suhu, tinggi, dan berat badan dilakukan dengan sensor yang terintegrasi dengan papan Arduino. Lalu proses anamnesa dilakukan dengan tanya jawab otomatis yang dilakukan dengan pergerakan gestur tangan,” ungkap Prisma Megantoro, S.T., M.Eng selaku dosen Teknik Elektro FTMM UNAIR.

Hasil dari proses triase, sambungnya, dibuat secara otomatis untuk merekomendasikan jenis penanganan lanjut oleh tenaga medis. Sistem instrumentasi dari ARTA-1 berinteraksi dengan pengguna melalui beberapa sensor serta LCD untuk mengukur suhu tubuh, berat, dan tinggi badan pasien (orang yang diduga terpapar virus COVID-19).

Sensor suhu non-kontak MLX90614 dimanfaatkan sebagai alat untuk mendeteksi suhu tubuh, sedangkan berat badan diukur menggunakan sensor load cell LCS-2160. Selanjutnya, sensor VL53l1x dipakai untuk mengukur tinggi badan pengguna.

“Ada dua saklar inframerah bertipe E18-D80NK yang digunakan; satu untuk mendeteksi keberadaan pengguna dan satunya untuk mendeteksi gerakan tangan pengguna ketika menjawab pertanyaan selama proses anamnesis,” paparnya.

 

Pemakaian Sensor
Semua pembacaan sensor dikendalikan oleh Arduino untuk menjalankan perintah pengguna yang dibuat pada aplikasi komputer. Interaksi pengguna, proses triase, dan anamnesis, serta pembuatan laporan dilakukan oleh aplikasi komputer tersebut. Laporan medis akan dikirim secara otomatis ke akun email petugas medis.

Operasional ARTA-1 ini terdiri dari beberapa tahapan yang harus dilalui oleh pengguna. Pertama dengan mendapatkan identitas melalui pemindaian E-KTP-nya. Tahap ini diperoleh data NIK, nama, tanggal lahir, dan umur. Tahap kedua memeriksa kondisi tubuh dengan mengukur suhu, berat badan, dan tinggi badan. Sedangkan tahap ketiga dengan melakukan tes anamnesis, kemudian mengkonversi biner hasil tes tersebut. Langkah keempat adalah menampilkan hasil triase dan membuat dokumen, kemudian mengirimkannya ke paramedis untuk penanganan lanjut.

Sistem instrumentasi pada ARTA-1 perlu dianalisis, karena hal tersebut dapat digunakan untuk menentukan performa pengukuran dan pengendalian sistem. Analisis ini dilakukan untuk setiap sensor yang digunakan pada sistem dengan metode karakterisasi yang berbeda-beda.

“Karakterisasi sensor-sensor menggunakan dua parameter, yaitu akurasi dan presisi. Presisi adalah faktor yang menunjukkan seberapa konsisten suatu instrumen memberikan nilai tertentu dari beberapa pengukuran yang ditunjukkan dengan standar deviasi diperoleh dari setiap pengukuran,” imbuhnya.

 

Akurasi
Dalam hal pengukuran, akurasi merupakan faktor utama yang mempengaruhi performa sensor. Akurasi menunjukkan seberapa tepat suatu instrumen dalam memberikan suatu nilai tertentu yang diperoleh dari instrumen ukur yang sudah standar.

“Perbandingan antara nilai standar dan nilai uji akan memberikan persen kesalahan dengan batas nilai 10 persen yang menunjukkan seberapa akurat pengukuran uji,” tandasnya.

Perancangan sistem instrumentasi pada ARTA-1 memiliki performa yang cukup baik. Pengukuran suhu tubuh memiliki akurasi dan presisi lebih dari 99 persen. Pengukuran berat badan memiliki presisi pada level 86,60 persen, dan akurasi yang cukup tinggi yaitu 96,52 persen. Pengukuran berat badan juga menunjukkan performa yang baik dengan akurasi 98,53 persen dan presisi 94,92 persen.

Sepasang sensor jarak jauh yang digunakan untuk mendeteksi gerakan tangan selama proses anamnesis menunjukkan performa yang bagus dan akurat pada jarak kurang dari 18 cm. Penggunaan sensor tersebut dipertimbangkan berdasarkan kebutuhan pemeriksaan triase yang aman, nyaman, dan tanpa sentuhan bagi orang yang terpapar COVID-19. Tentunya ini memudahkan pekerjaan petugas medis, serta mengurangi resiko paparan COVID-19.(*)(pm/wil)","[ 1.00011861  1.64920497  2.21646595 ...  0.47886968  2.3399446
 -0.88766748]",[4.]
"Dosen Teknik Industri: SUVA Merupakan Teknologi Air Tawar untuk Mendeteksi Karsinogenik Awal Sepanjang Bantaran Sungai
September 23, 2021

FTMM NEWS – Pada era industri 4.0 bukan hanya teknologi super maju dan canggih yang harus di terapkan, namun juga faktor sustainability. Hal ini menjadi tujuan yang harus tercapai demi keberlangsungan hidup manusia dan alam semesta pada masa mendatang.

Air merupakan salah satu sumber kehidupan yang penting bagi makhluk hidup, dan harus di jaga kualitasnya. Sayangnya, realita  hampir di sepanjang bantaran sungai di Indonesia, terutama kota besar menyuguhkan fenomena yang miris. Seperi halnya kualitas air yang buruk dan bau menyengat.

Menurut Affiani Machmudah, Ph.D, selaku dosen Teknik Industri (TI) Fakultas Teknologi Maju dan Multidisplin Universitas Airlangga, untuk menguji kualitas air sungai memerlukan metode penelitian dan pengujian sampel air. Salah satunya, dalam penelitiannya yang menguraikan satu metode Specific Ultra Violet Absorbance (SUVA).

“Ini adalah metode untuk mendeteksi kadar karsinogenik air tawar. Karsinogenik dalam air dapat terlihat secara akurat dengan memilih metode sesuai dari alternatif yang tersedia,” jelas Affie pada Rabu (22/9/2021).

Metode
Metode ini, sambung Affie, merupakan penentuan karbon organik total dan absorbansi Ultra Violet spesifik pada 254 nm dalam sampel air. Hal itu terhitung sebagai rasio UVA 254 (pada 1 cm dari panjang jalur sel kuarsa) terhadap total karbon organik, Total Organic Carbone.

SUVA akan berguna untuk memperkirakan persentase kandungan karbon aromatik dari asam humat. Hal ini merupakan indikator aromatik dan reaktivitas kimiawi untuk sampel bahan organik akuatik dari berbagai sumber air.

“Penelitian Dr. Teh Sabariah Abd Manan dan tim dapat menjadi acuan pengidentifikasian senyawa karsinogenik di sungai air tawar menggunakan metode SUVA. Risetnya berlangsung di sungai Perak, Malaysia,” ujarnya.

Pengambilan sampel menggunakan botol amber (1L). Botol tersebut dicuci terlebih dahulu dengan menggunakan deterjen bebas fosfat dan asam nitrat 1 mol (HNO3), serta dibilas dengan air keran di antara interval.

Botol dibilas dengan sampel air sebelum diisi dengan air sampel untuk dikumpulkan dan disimpan di ruang dingin pada suhu 4° C. Pengukuran TOC menggunakan alat penganalisis TOC berbasis pembakaran katalitik (TOC-50 0 0, Shimadzu, Jepang).

Absorbansi Ultra Violet ditentukan dengan menggunakan spektrofotometer pemindaian UV-VIS (T80, Oasis Scientific Incorporation, US) dengan sel 1 cm pada panjang gelombang 254 nm. Sebagai rasio UVA 254 ke TOC. Penyaringan sampel menggunakan kertas saring (Whatman, No. 1) sebelum dituangkan ke dalam botol spektrofotometer (1 ml). Absorbansi ultraviolet (A / cm) diukur pada 254 nm.

Hasil
“Hasil laboratorium menunjukkan bahwa nilai SUVA 254 air tawar di lembah sungai Perak telah melebihi nilai standar kualitas air yang setara dengan 2,0 L/mg-m oleh Environmental Protection Agency (EPA) Amerika Serikat,” tandasnya.

Nilai yang melebihi itu merupakan indikasi adanya sebagian besar senyawa aromatik di dalam air. Analisis kualifikasi membuktikan adanya polutan air pada konsentrasi yang berbahaya bagi kesehatan masyarakat di sampel air tawar daerah aliran sungai Perak. Dengan demikian, perlu penelitian dan tindakan lebih lanjut untuk alternatif pengolahan air yang lebih baik di wilayah sungai Perak.

Pengambilan sampel berlangsung di cekungan Sungai Perak yang berada di negara bagian Perak, di Semenanjung Malaysia. Hamparan sungai ini berfungsi sebagai pengambilan air untuk keperluan domestik, pertanian, dan industri di wilayah Perak Tengah, Hilir Perak dan Manjung.

Penelitian ini menunjukkan kadar karsinogenik pada air sungai Perak melebihi ambang batas normal. Air sungai ini umumnya bermanfaat untuk mengaliri persawahan. Maka, efek kandungan karsinogenik air pada komoditas pertanian yang menjadi konsumsi manusia menjadi topik penelitian lanjutan yang harus berlanjut.

Semoga, penelitian tersebut dapat menjadi acuan uji karsinogenik sampel air di bantaran sungai. Penelitian ini menunjukkan, bahwa penelitian teknologi air tawar seperti pengikatan senyawa karsinogenik harus secara masif. Tujuannya untuk mencapai keberlanjutan kehidupan umat manusia dan alam semesta.(*)(wil)","[ 0.53538114  1.36998558  2.59617424 ...  1.36808074  2.1967392
 -0.25238138]",[4.]
